Forager_Word,Original Found,ReplFound,Close Matches in S2V
aardvark,FALSE,FALSE,No close match found
aardwolf,FALSE,FALSE,No close match found
abalone,FALSE,FALSE,No close match found
abeja,FALSE,FALSE,No close match found
addax,FALSE,FALSE,No close match found
adder,TRUE,TRUE,"adder, sadder, madder"
adelgid,FALSE,FALSE,No close match found
adelie penguin,FALSE,FALSE,No close match found
aedes aegypti,FALSE,FALSE,No close match found
affenpinscher,FALSE,FALSE,No close match found
afghan hound,FALSE,FALSE,No close match found
african dog,FALSE,FALSE,No close match found
african elephant,FALSE,FALSE,No close match found
african wild dog,FALSE,FALSE,No close match found
agama,FALSE,FALSE,No close match found
agouti,FALSE,FALSE,No close match found
airedale terrier,FALSE,FALSE,No close match found
akita,FALSE,FALSE,No close match found
albacore,FALSE,FALSE,No close match found
albatross,TRUE,TRUE,"albatross, albatrosses"
albino python,FALSE,FALSE,No close match found
alga,FALSE,FALSE,No close match found
alligator,TRUE,TRUE,"alligator, alligators"
alligator lizard,FALSE,FALSE,No close match found
alligator snapping turtle,FALSE,FALSE,No close match found
allosaurus,FALSE,FALSE,No close match found
alpaca,TRUE,TRUE,alpaca
amberjack,FALSE,FALSE,No close match found
american toad,FALSE,FALSE,No close match found
amoeba,FALSE,FALSE,No close match found
amphibian,FALSE,FALSE,No close match found
amphioxus,FALSE,FALSE,No close match found
amphipod,FALSE,FALSE,No close match found
anaconda,FALSE,FALSE,No close match found
anchovy,TRUE,TRUE,anchovy
anemone,TRUE,TRUE,anemone
angelfish,FALSE,FALSE,No close match found
anglerfish,FALSE,FALSE,No close match found
angora goat,FALSE,FALSE,No close match found
angora rabbit,FALSE,FALSE,No close match found
anhinga,FALSE,FALSE,No close match found
ankylosaur,FALSE,FALSE,No close match found
annelid,FALSE,FALSE,No close match found
anole,FALSE,FALSE,No close match found
ant,TRUE,TRUE,ant
anteater,FALSE,FALSE,No close match found
antelope,TRUE,TRUE,"antelope, antelopes"
antelope squirrel,FALSE,FALSE,No close match found
anthropoid,FALSE,FALSE,No close match found
antlion,FALSE,FALSE,No close match found
apatosaurus,FALSE,FALSE,No close match found
ape,TRUE,TRUE,ape
aphid,FALSE,FALSE,No close match found
aplysia,FALSE,FALSE,No close match found
appaloosa,FALSE,FALSE,No close match found
apple maggot,FALSE,FALSE,No close match found
arachnid,FALSE,FALSE,No close match found
arapaima,FALSE,FALSE,No close match found
archaea,FALSE,FALSE,No close match found
archeopteryx,FALSE,FALSE,No close match found
archosaur,FALSE,FALSE,No close match found
arctic char,FALSE,FALSE,No close match found
arctic fox,FALSE,FALSE,No close match found
argali,FALSE,FALSE,No close match found
armadillo,FALSE,FALSE,No close match found
armyworm,FALSE,FALSE,No close match found
arrowhead dogfish,FALSE,FALSE,No close match found
arrowhead shark,FALSE,FALSE,No close match found
arthropod,FALSE,FALSE,No close match found
ascidians,FALSE,FALSE,No close match found
asian elephant,FALSE,FALSE,No close match found
asp,TRUE,TRUE,asp
ass,TRUE,TRUE,ass
assassin bug,FALSE,FALSE,No close match found
auk,FALSE,FALSE,No close match found
auklet,FALSE,FALSE,No close match found
auroch,FALSE,FALSE,No close match found
australopithecine,FALSE,FALSE,No close match found
avian,FALSE,FALSE,No close match found
avocet,FALSE,FALSE,No close match found
axolotl,FALSE,FALSE,No close match found
aye aye,FALSE,FALSE,No close match found
babirusa,FALSE,FALSE,No close match found
baboon,TRUE,TRUE,baboon
baby,TRUE,TRUE,baby
baca,FALSE,FALSE,No close match found
bacteria,FALSE,FALSE,No close match found
badger,TRUE,TRUE,"badger, badgers, badge"
bald eagle,FALSE,FALSE,No close match found
baleen whale,FALSE,FALSE,No close match found
banana slug,FALSE,FALSE,No close match found
